             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
          59576739 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576738 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576737 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576736 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576735 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576734 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576733 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576732 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576731 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576730 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576729 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576728 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576727 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576726 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576725 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576724 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576723 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576722 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576721 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576720 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576719 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576718 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576717 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576716 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576715 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576714 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576713 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576712 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576711 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576710 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576709 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576708 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576707 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576706 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
